"source_name","url_or_local_path","source_type","visible_route_count_fields","seasons_covered","positions_covered","row_grain","player_id_fields","team_week_game_season_fields","licensing_terms_status","reproducibility_status","export_download_status","includes_actual_routes_run","includes_yprr_tprr","yprr_tprr_recomputable_from_route_count","missingness_risks","identity_risks","verdict","notes"
"SumerSports WR public stats page","https://sumersports.com/players/wide-receiver/","public web page and public page payload","Routes Run; Targets/Route Run; YPRR","Public payload observed for 2022-2025; 2017-2021 page shell without route rows","WR","player-season position stats page payload","sumerPlayerId observed; no admitted NWR crosswalk","season and team-like page fields observed; week/game not observed","Terms restrict automated retrieval/copying without express permission","Stable public URL with season query behavior observed but no documented API","No public bulk export found","yes","yes","yes, if routes are admitted and receiving yards/targets are admitted","coverage before 2022 not observed; Sumer methodology/missingness not documented","Sumer ID not yet mapped to NWR canonical player IDs","YELLOW_ROUTE_DENOMINATOR_LEAD","Strong visible WR denominator lead but blocked by license/export/API and identity hardening."
"SumerSports TE public stats page","https://sumersports.com/players/tight-end/","public web page and public page payload","Routes Run; Targets/Route Run; YPRR","Public payload observed for 2022-2025; 2017-2021 page shell without route rows","TE","player-season position stats page payload","sumerPlayerId observed; no admitted NWR crosswalk","season and team-like page fields observed; week/game not observed","Terms restrict automated retrieval/copying without express permission","Stable public URL with season query behavior observed but no documented API","No public bulk export found","yes","yes","yes, if routes are admitted and receiving yards/targets are admitted","coverage before 2022 not observed; Sumer methodology/missingness not documented","Sumer ID not yet mapped to NWR canonical player IDs","YELLOW_ROUTE_DENOMINATOR_LEAD","Strong visible TE denominator lead but blocked by license/export/API and identity hardening."
"SumerSports RB public stats page payload","https://sumersports.com/players/running-back/","public web page with hidden route fields in page payload","No visible RB route columns; receivingPassRoutesRun observed in payload","Public payload observed for 2022-2025; 2017-2021 page shell without route rows","RB","player-season position stats page payload","sumerPlayerId observed; no admitted NWR crosswalk","season and team-like page fields observed; week/game not observed","Terms restrict automated retrieval/copying without express permission","Stable public URL with season query behavior observed but no documented API","No public bulk export found","yes, in payload only","yes, in payload only","yes, if routes are admitted and receiving yards/targets are admitted","field is not displayed in RB table; coverage and intent need provider confirmation","Sumer ID not yet mapped to NWR canonical player IDs","YELLOW_ROUTE_DENOMINATOR_LEAD","RB denominator lead is stronger than visible UI but needs permission and documentation because field is hidden in client payload."
"ESPN Receiver Scores public page","https://espnanalytics.com/receivers","public analytics page","Routes; YDS/RT shown in table","2017-2025 season selector observed","WR; TE; RB","player-season receiver score table","ESPN surface identity visible; underlying IDs not fully documented on page","season and team shown; week/game not applicable on season table","Disney terms restrict automated extraction and dataset creation without permission","Stable public page; no documented data API on page","No public export found","yes, visible as routes column","YDS/RT visible; TPRR not visible in page table","yes, if routes and targets/yards are admitted","eligibility thresholds exclude low-volume players","public page identity alone is not enough for approved join","YELLOW_ROUTE_DENOMINATOR_LEAD","Good public display lead, but page alone is not a licensed reproducible feed."
"ESPN Receiver Scores client JSON object","https://nfl-player-metrics.s3.amazonaws.com/rtm/rtm_data.json","public client JSON object","rtm_routes; rtm_targets; yds","2017-2025 observed in object","FB; RB; TE; WR","player-season plus combined-season receiver metric rows","gsis_id; dot_com_id","tm; min_season; max_season; min_player_season; max_player_season","Disney terms restrict automated extraction and dataset/database creation without permission","Direct public object observed but undocumented as data product/API","No documented export license; object itself is downloadable","yes","YDS per route can be derived; targets per route can be derived","yes, if permission is obtained and row-grain rows are filtered correctly","eligibility thresholds and combined-season rows require careful filtering","low if permission granted because GSIS and ESPN IDs are present","YELLOW_ROUTE_DENOMINATOR_LEAD","Strongest identity-safe technical lead, but undocumented client object and terms block admission."
"PlayerProfiler public RB player pages","https://www.playerprofiler.com/nfl/javonte-williams/","public player pages","Routes Run; Route Participation; Yards Per Route Run; weekly Routes on some pages","current and recent player page history visible; aggregate historical coverage not documented","RB","individual player page season and weekly sections","page slug and player page identity; hidden IDs not documented for NWR use","season and weekly fields visible on pages; team/game keys not documented as export","Terms prohibit copying, scraping, aggregation, and republishing without authorization","Manual public pages are reachable; no documented permission-safe aggregate endpoint found","No non-paid aggregate export found","yes, visible on pages","YPRR visible; TPRR not consistently confirmed","yes, if routes and admitted yards/targets are joined later","manual page coverage and historical completeness unmeasured","name/page-slug-only joins are unsafe unless IDs are documented and admitted","YELLOW_ROUTE_DENOMINATOR_LEAD","Useful RB coverage lead, not a reproducible licensed feed."
"PlayerProfiler public WR/TE player pages","https://www.playerprofiler.com/nfl/george-kittle/","public player pages","Routes Run; Route Participation; Yards Per Route Run; First Downs Per Route Run; weekly Routes on some pages","current and recent player page history visible; aggregate historical coverage not documented","WR; TE","individual player page season and weekly sections","page slug and player page identity; hidden IDs not documented for NWR use","season and weekly fields visible on pages; team/game keys not documented as export","Terms prohibit copying, scraping, aggregation, and republishing without authorization","Manual public pages are reachable; no documented permission-safe aggregate endpoint found","No non-paid aggregate export found","yes, visible on pages","YPRR visible; TPRR not consistently confirmed","yes, if routes and admitted yards/targets are joined later","manual page coverage and historical completeness unmeasured","name/page-slug-only joins are unsafe unless IDs are documented and admitted","YELLOW_ROUTE_DENOMINATOR_LEAD","Visible player-page route metrics are a lead only."
"PlayerProfiler paid Data Analysis/export","https://www.playerprofiler.com/fantasy-football-stats/","paid/subscription analytics export surface","Routes Run likely available in paid tool based on PlayerProfiler metric catalog","unknown without paid product review","WR; TE; RB likely","aggregate export surface","unknown without paid product review","unknown without paid product review","Paid product and terms block reuse without explicit permission","Not permitted for this lane","Paid export is specifically blocked by lane rules","unknown","unknown","unknown","paid and proprietary coverage cannot be measured here","paid export identity cannot be reviewed here","RED_ROUTE_DENOMINATOR_BLOCKED","Blocked by user hard blocker for paid PlayerProfiler exports and by terms."
"NFL Next Gen Stats route recognition methodology","https://www.nfl.com/news/next-gen-stats-intro-to-new-route-recognition-model","methodology article and public examples","No downloadable player route-count field","2018-2019 training discussion and example tables; no full historical feed","WR; TE; RB route runners discussed","article examples only","none for downloadable table","none for downloadable table","No public data license for route outputs found","No public route-count retrieval path found","No bulk download found","no public denominator table","no public YPRR/TPRR feed from route recognition found","no","only snippets/examples; no full coverage","no usable row identity keys","RED_ROUTE_DENOMINATOR_BLOCKED","Confirms internal NGS route classification exists but public output is not released as a denominator feed."
"nflverse participation","https://nflreadr.nflverse.com/reference/load_participation.html","public package-backed data","route field exists but is primary receiver route label","2016-current per nflreadr docs","all offensive players in participation rows; route label only for primary receiver context","play participation row","gsis_id in offense_players and related fields","game_id; play_id; season; week","CC-BY-SA 4.0 source terms through nflverse docs","Reproducible loader and downloadable file types","csv; rds; parquet via nflverse","no, not full eligible-player routes run","no direct YPRR/TPRR","no","route label is not denominator; eligible non-target route runners are not counted as routes_run","identity is good but field is not the target denominator","PROXY_ONLY_NOT_TRUE_ROUTES","Keep as context/proxy only. Do not relabel participation or primary-receiver route labels as routes_run."
