position_scope,metric_id,raw_source_column,display_label,directionality,display_mode,tooltip,missingness_caveat,gate,runtime_surface
QB,ngs_qb_cpoe,completion_percentage_above_expectation,CPOE,higher_better,value_and_percentile,Completion percentage above expected from public NGS data,Public NGS thresholding can exclude low-volume passers,REVIEW_ONLY_NGS_CONTEXT,Development Lab
QB,ngs_qb_expected_completion_percentage,expected_completion_percentage,Expected completion %,higher_context,value_only,Expected completion rate based on throw context,Public NGS thresholding can exclude low-volume passers,REVIEW_ONLY_NGS_CONTEXT,Development Lab
QB,ngs_qb_avg_time_to_throw,avg_time_to_throw,Avg time to throw,context_only,value_trend,Average time from snap to throw; style and pressure context rather than pure quality,Missingness may indicate low sample or non-qualifying player,REVIEW_ONLY_NGS_CONTEXT,Development Lab
QB,ngs_qb_aggressiveness,aggressiveness,Aggressiveness %,context_only,value_only,Share of attempts into tight coverage; context not recommendation,Thresholded public NGS coverage can omit low-volume players,REVIEW_ONLY_NGS_CONTEXT,Development Lab
QB,ngs_qb_air_yards_to_sticks,avg_air_yards_to_sticks,Air yards to sticks,context_only,value_only,Average intended air yards relative to the first-down marker,Context-only and scheme-sensitive,REVIEW_ONLY_NGS_CONTEXT,Development Lab
QB,ngs_qb_intended_air_yards,avg_intended_air_yards,Avg intended air yards,context_only,value_trend,Average target depth on pass attempts,Can be volatile for low sample players,REVIEW_ONLY_NGS_CONTEXT,Development Lab
QB,ngs_qb_completed_air_yards,avg_completed_air_yards,Avg completed air yards,higher_context,value_trend,Average air yards on completed passes,Completion mix and scheme-sensitive,REVIEW_ONLY_NGS_CONTEXT,Development Lab
RB,ngs_rb_ryoe,rush_yards_over_expected,Rush yards over expected,higher_better,value_and_percentile,Rushing yards above expectation from public NGS data,Public NGS thresholding can exclude low-volume rushers,REVIEW_ONLY_NGS_CONTEXT,Development Lab
RB,ngs_rb_ryoe_per_att,rush_yards_over_expected_per_att,RYOE per attempt,higher_better,value_and_percentile,Rushing yards over expected per attempt,Can be noisy in small samples,REVIEW_ONLY_NGS_CONTEXT,Development Lab
RB,ngs_rb_rush_pct_over_expected,rush_pct_over_expected,Rush % over expected,higher_better,value_only,Share of rushes beating expected outcome,Thresholded and role-sensitive,REVIEW_ONLY_NGS_CONTEXT,Development Lab
RB,ngs_rb_efficiency,efficiency,Rushing efficiency,lower_context,value_only,North-south efficiency; lower is not always better without context,Do not grade or recommend from this value alone,REVIEW_ONLY_NGS_CONTEXT,Development Lab
RB,ngs_rb_box_rate,percent_attempts_gte_eight_defenders,8+ box rate,context_only,value_only,Percent of attempts versus eight or more defenders in box,Role and offensive context sensitive,REVIEW_ONLY_NGS_CONTEXT,Development Lab
RB,ngs_rb_time_to_los,avg_time_to_los,Avg time to line,context_only,value_trend,Average time to line of scrimmage,Style and blocking context sensitive,REVIEW_ONLY_NGS_CONTEXT,Development Lab
WR/TE,ngs_receiver_separation,avg_separation,Avg separation,higher_context,value_and_percentile,Average yards of separation at target or catch point depending NGS definition,Public NGS thresholding can exclude low-volume receivers,REVIEW_ONLY_NGS_CONTEXT,Development Lab
WR/TE,ngs_receiver_cushion,avg_cushion,Avg cushion,context_only,value_only,Average pre-target cushion; defensive and role context,Do not rank players directly from cushion,REVIEW_ONLY_NGS_CONTEXT,Development Lab
WR/TE,ngs_receiver_expected_yac,avg_expected_yac,Expected YAC,higher_context,value_trend,Expected yards after catch based on play context,Role and scheme sensitive,REVIEW_ONLY_NGS_CONTEXT,Development Lab
WR/TE,ngs_receiver_yac_oe,avg_yac_above_expectation,YAC over expected,higher_better,value_and_percentile,Yards after catch above expectation,Small samples can swing sharply,REVIEW_ONLY_NGS_CONTEXT,Development Lab
WR/TE,ngs_receiver_share_iay,percent_share_of_intended_air_yards,Share of intended air yards,higher_context,value_only,Share of team intended air yards captured by receiver,Team volume and offensive style sensitive,REVIEW_ONLY_NGS_CONTEXT,Development Lab
WR/TE,ngs_receiver_avg_iay,avg_intended_air_yards,Avg intended air yards,context_only,value_trend,Average target depth for receiver,Deep role does not equal recommendation,REVIEW_ONLY_NGS_CONTEXT,Development Lab
