feature_family,source_artifact,current_display_status,candidate_model_status,prediction_time_available,point_in_time_snapshot_required,historical_backfill_risk,future_information_risk,post_outcome_information_risk,roster_cut_leakage_risk,injury_report_timing_risk,depth_chart_timing_risk,schedule_timing_risk,draft_capital_timing_risk,safe_for_current_display,safe_for_historical_replay_now,safe_for_model_experiment_now,required_gate_before_experiment,blocker_reason,notes
roster status,docs/hq/data_sources/nflverse_player_context_display_20260630/nflverse_player_context_display_artifact.csv,DISPLAY_ONLY_SAFE_NOW,BLOCKED_POINT_IN_TIME_SNAPSHOT_REQUIRED,not_proven,true,high,high,medium,high,medium,medium,low,low,true,false,false,Historical replay plus roster event as-of gate,Current roster status can reveal later cut/signing/survival state,Needs historical roster snapshots with publication/as-of timestamps
weekly roster status,docs/hq/data_sources/nflverse_player_context_display_20260630/nflverse_player_context_display_artifact.csv,DISPLAY_ONLY_SAFE_NOW,BLOCKED_POINT_IN_TIME_SNAPSHOT_REQUIRED,not_proven,true,high,high,medium,high,medium,medium,low,low,true,false,false,Historical weekly roster as-of gate,Weekly roster status can reveal post-anchor activity and roster survival,Needs season-week snapshot frozen before prediction anchor
injury report status,docs/hq/data_sources/nflverse_player_context_display_20260630/nflverse_player_context_display_artifact.csv,DISPLAY_ONLY_SAFE_NOW,BLOCKED_PUBLISHED_TIMING_REQUIRED,not_proven,true,high,high,medium,medium,high,medium,low,low,true,false,false,Injury report publication timing and leakage gate,Injury reports are high timing risk and cannot become injury risk or medical projection,Needs report date/time and game-week anchor
practice status,docs/hq/data_sources/nflverse_player_context_display_20260630/nflverse_player_context_display_artifact.csv,DISPLAY_ONLY_SAFE_NOW,BLOCKED_PUBLISHED_TIMING_REQUIRED,not_proven,true,high,high,medium,medium,high,medium,low,low,true,false,false,Practice report publication timing and leakage gate,Practice status can leak late-week role and health information,Needs exact practice-report availability relative to prediction anchor
schedule next game / opponent / bye,docs/hq/data_sources/nflverse_player_context_display_20260630/nflverse_player_context_display_artifact.csv,DISPLAY_ONLY_SAFE_NOW,BLOCKED_SCHEDULE_ASOF_REQUIRED,not_proven,true,medium,medium,low,low,low,low,high,low,true,false,false,Schedule release/as-of and no-recommendation gate,Schedule context cannot become matchup strength start-sit playoff odds or trade timing,Needs schedule snapshot date and game-window policy
depth chart role,docs/hq/data_sources/nflverse_player_context_display_20260630/nflverse_player_context_display_artifact.csv,DISPLAY_ONLY_SAFE_NOW,BLOCKED_DEPTH_CHART_TIMING_REQUIRED,not_proven,true,high,high,medium,high,medium,high,low,low,true,false,false,Depth chart point-in-time and historical replay gate,Current depth chart role can reveal post-draft opportunity and future role,Not a pre-draft feature and not UDFA proof
snap recency / sample,docs/hq/data_sources/nflverse_player_context_display_20260630/nflverse_player_context_display_artifact.csv,DISPLAY_ONLY_SAFE_NOW,BLOCKED_POST_ANCHOR_USAGE_LEAKAGE,not_proven,true,high,high,high,medium,low,medium,low,low,true,false,false,Usage window as-of and post-week lag gate,Snap recency after the anchor is direct usage leakage,Only prior closed weeks could ever be considered after a lag policy
last active season / week,docs/hq/data_sources/nflverse_player_context_display_20260630/nflverse_player_context_display_artifact.csv,DISPLAY_ONLY_SAFE_NOW,BLOCKED_POST_OUTCOME_ACTIVITY_LEAKAGE,not_proven,true,high,high,high,medium,low,medium,low,low,true,false,false,Activity as-of and horizon-censoring gate,Last active values can encode career survival or post-anchor activity,Needs prior-season-only window and censoring controls
draft capital,docs/hq/data_sources/nflverse_player_context_display_20260630/nflverse_player_context_display_artifact.csv,DISPLAY_ONLY_SAFE_NOW,POST_DRAFT_ONLY_CANDIDATE_NEEDS_REPLAY,post_draft_only_candidate,true,medium,medium,medium,low,low,low,low,high,true,false,false,Draft date anchor and drafted-only replay gate,Draft capital is not available for pre-draft predictions and missing draft is not UDFA proof,May be considered only for post-draft drafted-only experiments after explicit gate
combine,docs/hq/data_sources/nflverse_dataset_level_refresh_health_20260630/nflverse_dataset_registry_v1.csv,REVIEW_ONLY_CANDIDATE_LATER,PRE_DRAFT_OR_POST_DRAFT_CANDIDATE_NEEDS_REPLAY,conditional_candidate,true,medium,medium,medium,low,low,low,low,medium,false,false,false,Combine event-date and identity replay gate,Combine values need event availability and prospect identity timing,No current display artifact or experiment approval exists
