candidate_id,seed_candidate,cluster_id,seed_neighborhood,formula_family,formula_definition,score_kind,params,input_fields,weights,position_scope,source/use-gate status,blocked_input_check,leakage/as-of check status,review_only_status,required_comparator,score_changes_allowed,caveat
REFINE_001_OVERALL_THREE_70_20_10_LATE_0,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE,C01,overall_decline_age_role_hybrid,A_OVERALL_DECLINE_AGE_ROLE_REFINEMENT,overall_three_70_20_10_late_0,modifier,base=three;high_volume_late_guard=0.000;late_guard=0.000;w1=0.700;w2=0.200;w3=0.100,pyf_prior_nwr_points;prior_2yr_weighted_nwr_points;prior_3yr_weighted_nwr_points;age_bucket;lifecycle_bucket;role_archetype;role_usage_bucket,base=three;high_volume_late_guard=0.000;late_guard=0.000;w1=0.700;w2=0.200;w3=0.100,QB/RB/WR/TE,REVIEW_ONLY_SAFE_FORMULA_DATA_MART_FIELDS,PASS_NO_BLOCKED_INPUTS,PASS_REVIEW_ONLY_ASOF_SAFE,REVIEW_ONLY_NOT_PRODUCTION_NOT_RANKING,PYF,yes,review_only_decline_context_no_production_approval
REFINE_002_OVERALL_THREE_70_20_10_LATE_10,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE,C01,overall_decline_age_role_hybrid,A_OVERALL_DECLINE_AGE_ROLE_REFINEMENT,overall_three_70_20_10_late_10,modifier,base=three;high_volume_late_guard=0.005;late_guard=0.010;w1=0.700;w2=0.200;w3=0.100,pyf_prior_nwr_points;prior_2yr_weighted_nwr_points;prior_3yr_weighted_nwr_points;age_bucket;lifecycle_bucket;role_archetype;role_usage_bucket,base=three;high_volume_late_guard=0.005;late_guard=0.010;w1=0.700;w2=0.200;w3=0.100,QB/RB/WR/TE,REVIEW_ONLY_SAFE_FORMULA_DATA_MART_FIELDS,PASS_NO_BLOCKED_INPUTS,PASS_REVIEW_ONLY_ASOF_SAFE,REVIEW_ONLY_NOT_PRODUCTION_NOT_RANKING,PYF,yes,review_only_decline_context_no_production_approval
REFINE_003_OVERALL_THREE_70_20_10_LATE_20,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE,C01,overall_decline_age_role_hybrid,A_OVERALL_DECLINE_AGE_ROLE_REFINEMENT,overall_three_70_20_10_late_20,modifier,base=three;high_volume_late_guard=0.010;late_guard=0.020;w1=0.700;w2=0.200;w3=0.100,pyf_prior_nwr_points;prior_2yr_weighted_nwr_points;prior_3yr_weighted_nwr_points;age_bucket;lifecycle_bucket;role_archetype;role_usage_bucket,base=three;high_volume_late_guard=0.010;late_guard=0.020;w1=0.700;w2=0.200;w3=0.100,QB/RB/WR/TE,REVIEW_ONLY_SAFE_FORMULA_DATA_MART_FIELDS,PASS_NO_BLOCKED_INPUTS,PASS_REVIEW_ONLY_ASOF_SAFE,REVIEW_ONLY_NOT_PRODUCTION_NOT_RANKING,PYF,yes,review_only_decline_context_no_production_approval
REFINE_004_OVERALL_THREE_70_20_10_LATE_30,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE,C01,overall_decline_age_role_hybrid,A_OVERALL_DECLINE_AGE_ROLE_REFINEMENT,overall_three_70_20_10_late_30,modifier,base=three;high_volume_late_guard=0.015;late_guard=0.030;w1=0.700;w2=0.200;w3=0.100,pyf_prior_nwr_points;prior_2yr_weighted_nwr_points;prior_3yr_weighted_nwr_points;age_bucket;lifecycle_bucket;role_archetype;role_usage_bucket,base=three;high_volume_late_guard=0.015;late_guard=0.030;w1=0.700;w2=0.200;w3=0.100,QB/RB/WR/TE,REVIEW_ONLY_SAFE_FORMULA_DATA_MART_FIELDS,PASS_NO_BLOCKED_INPUTS,PASS_REVIEW_ONLY_ASOF_SAFE,REVIEW_ONLY_NOT_PRODUCTION_NOT_RANKING,PYF,yes,review_only_decline_context_no_production_approval
REFINE_005_OVERALL_THREE_65_25_10_LATE_0,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE,C01,overall_decline_age_role_hybrid,A_OVERALL_DECLINE_AGE_ROLE_REFINEMENT,overall_three_65_25_10_late_0,modifier,base=three;high_volume_late_guard=0.000;late_guard=0.000;w1=0.650;w2=0.250;w3=0.100,pyf_prior_nwr_points;prior_2yr_weighted_nwr_points;prior_3yr_weighted_nwr_points;age_bucket;lifecycle_bucket;role_archetype;role_usage_bucket,base=three;high_volume_late_guard=0.000;late_guard=0.000;w1=0.650;w2=0.250;w3=0.100,QB/RB/WR/TE,REVIEW_ONLY_SAFE_FORMULA_DATA_MART_FIELDS,PASS_NO_BLOCKED_INPUTS,PASS_REVIEW_ONLY_ASOF_SAFE,REVIEW_ONLY_NOT_PRODUCTION_NOT_RANKING,PYF,yes,review_only_decline_context_no_production_approval
REFINE_006_OVERALL_THREE_65_25_10_LATE_10,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE,C01,overall_decline_age_role_hybrid,A_OVERALL_DECLINE_AGE_ROLE_REFINEMENT,overall_three_65_25_10_late_10,modifier,base=three;high_volume_late_guard=0.005;late_guard=0.010;w1=0.650;w2=0.250;w3=0.100,pyf_prior_nwr_points;prior_2yr_weighted_nwr_points;prior_3yr_weighted_nwr_points;age_bucket;lifecycle_bucket;role_archetype;role_usage_bucket,base=three;high_volume_late_guard=0.005;late_guard=0.010;w1=0.650;w2=0.250;w3=0.100,QB/RB/WR/TE,REVIEW_ONLY_SAFE_FORMULA_DATA_MART_FIELDS,PASS_NO_BLOCKED_INPUTS,PASS_REVIEW_ONLY_ASOF_SAFE,REVIEW_ONLY_NOT_PRODUCTION_NOT_RANKING,PYF,yes,review_only_decline_context_no_production_approval
REFINE_007_OVERALL_THREE_65_25_10_LATE_20,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE,C01,overall_decline_age_role_hybrid,A_OVERALL_DECLINE_AGE_ROLE_REFINEMENT,overall_three_65_25_10_late_20,modifier,base=three;high_volume_late_guard=0.010;late_guard=0.020;w1=0.650;w2=0.250;w3=0.100,pyf_prior_nwr_points;prior_2yr_weighted_nwr_points;prior_3yr_weighted_nwr_points;age_bucket;lifecycle_bucket;role_archetype;role_usage_bucket,base=three;high_volume_late_guard=0.010;late_guard=0.020;w1=0.650;w2=0.250;w3=0.100,QB/RB/WR/TE,REVIEW_ONLY_SAFE_FORMULA_DATA_MART_FIELDS,PASS_NO_BLOCKED_INPUTS,PASS_REVIEW_ONLY_ASOF_SAFE,REVIEW_ONLY_NOT_PRODUCTION_NOT_RANKING,PYF,yes,review_only_decline_context_no_production_approval
REFINE_008_OVERALL_THREE_65_25_10_LATE_30,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE,C01,overall_decline_age_role_hybrid,A_OVERALL_DECLINE_AGE_ROLE_REFINEMENT,overall_three_65_25_10_late_30,modifier,base=three;high_volume_late_guard=0.015;late_guard=0.030;w1=0.650;w2=0.250;w3=0.100,pyf_prior_nwr_points;prior_2yr_weighted_nwr_points;prior_3yr_weighted_nwr_points;age_bucket;lifecycle_bucket;role_archetype;role_usage_bucket,base=three;high_volume_late_guard=0.015;late_guard=0.030;w1=0.650;w2=0.250;w3=0.100,QB/RB/WR/TE,REVIEW_ONLY_SAFE_FORMULA_DATA_MART_FIELDS,PASS_NO_BLOCKED_INPUTS,PASS_REVIEW_ONLY_ASOF_SAFE,REVIEW_ONLY_NOT_PRODUCTION_NOT_RANKING,PYF,yes,review_only_decline_context_no_production_approval
REFINE_009_OVERALL_THREE_60_30_10_LATE_0,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE,C01,overall_decline_age_role_hybrid,A_OVERALL_DECLINE_AGE_ROLE_REFINEMENT,overall_three_60_30_10_late_0,modifier,base=three;high_volume_late_guard=0.000;late_guard=0.000;w1=0.600;w2=0.300;w3=0.100,pyf_prior_nwr_points;prior_2yr_weighted_nwr_points;prior_3yr_weighted_nwr_points;age_bucket;lifecycle_bucket;role_archetype;role_usage_bucket,base=three;high_volume_late_guard=0.000;late_guard=0.000;w1=0.600;w2=0.300;w3=0.100,QB/RB/WR/TE,REVIEW_ONLY_SAFE_FORMULA_DATA_MART_FIELDS,PASS_NO_BLOCKED_INPUTS,PASS_REVIEW_ONLY_ASOF_SAFE,REVIEW_ONLY_NOT_PRODUCTION_NOT_RANKING,PYF,yes,review_only_decline_context_no_production_approval
REFINE_010_OVERALL_THREE_60_30_10_LATE_10,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE,C01,overall_decline_age_role_hybrid,A_OVERALL_DECLINE_AGE_ROLE_REFINEMENT,overall_three_60_30_10_late_10,modifier,base=three;high_volume_late_guard=0.005;late_guard=0.010;w1=0.600;w2=0.300;w3=0.100,pyf_prior_nwr_points;prior_2yr_weighted_nwr_points;prior_3yr_weighted_nwr_points;age_bucket;lifecycle_bucket;role_archetype;role_usage_bucket,base=three;high_volume_late_guard=0.005;late_guard=0.010;w1=0.600;w2=0.300;w3=0.100,QB/RB/WR/TE,REVIEW_ONLY_SAFE_FORMULA_DATA_MART_FIELDS,PASS_NO_BLOCKED_INPUTS,PASS_REVIEW_ONLY_ASOF_SAFE,REVIEW_ONLY_NOT_PRODUCTION_NOT_RANKING,PYF,yes,review_only_decline_context_no_production_approval
