family_name,gap_status,current_board_equivalent,expected_historical_equivalent,required_columns,required_keys,required_seasons,required_positions,source_use_gate_status,why_it_matters,gates_exact_replay,gates_formula_gauntlet
checkpoint_review_score,RECOVERABLE_FROM_EXISTING_ARTIFACTS,current_value_full_board_review_rows / current_player_value_full_board_review_rows checkpoint_review_score,season-by-season checkpoint_review_score rows,player identity; player_name; position; feature_season/as_of; checkpoint_review_score; source receipt/provenance,player_id or canonical equivalent; feature_season/as_of; position,historical feature seasons needed for exact replay,QB/RB/WR/TE,review-only recovery candidate; Master HQ approval required before canonical use,Anchors exact Model v4 checkpoint score and exact rank/value order.,yes,"yes, if claiming exact Model v4 baseline"
position_specific_review_score,RECOVERABLE_FROM_EXISTING_ARTIFACTS,component rows and current player value rows with position_specific_review_score,season-position component score rows,player identity; position; feature_season/as_of; position_specific_review_score; component/source provenance,player_id or canonical equivalent; feature_season/as_of; position,historical feature seasons needed for exact replay,QB/RB/WR/TE,review-only recovery candidate; Master HQ approval required before canonical use,Required for exact QB/RB/WR/TE component score replay.,yes,"yes, if claiming exact Model v4 baseline"
lifecycle_age_receipts,RECOVERABLE_FROM_EXISTING_ARTIFACTS,lifecycle_age_receipts; veteran_player_inputs; review_safe_qb_age_adapter_from_lifecycle_receipts,historical lifecycle/age receipt rows by feature season,player identity; feature_season/as_of; age or birth date; lifecycle bucket; source provenance,player_id or canonical equivalent; feature_season/as_of,historical feature seasons needed for exact replay,QB/RB/WR/TE,review-only recovery candidate; age regeneration needs source/as-of review,Required for age curve and lifecycle adjustments across seasons.,yes,yes for age/lifecycle candidates
role_archetype_receipts,REGENERATABLE_REVIEW_ONLY,role/archetype component rows in component_receipts,historical role archetype rows by feature season,player identity; feature_season/as_of; role/archetype; source input fields; provenance,player_id or canonical equivalent; feature_season/as_of; position,historical feature seasons needed for exact replay,QB/RB/WR/TE,review-only regeneration possible only after bounded contract,Required for role shape and position-specific adjustment replay.,yes,yes for role candidates
confidence_cap_receipts,REGENERATABLE_REVIEW_ONLY,confidence flags/manual review notes in board review rows,historical confidence cap rows by feature season,player identity; feature_season/as_of; confidence cap/status; missingness/coverage inputs; provenance,player_id or canonical equivalent; feature_season/as_of; position,historical feature seasons needed for exact replay,QB/RB/WR/TE,review-only regeneration possible only after bounded contract,Required for confidence caps and missingness/coverage caps.,yes,yes for sparse/missingness guardrails
WR_QB_v2_candidate_overlay,REQUIRES_HUMAN_REVIEW,wr_qb_v2_candidate mode and candidate overlay logic receipts,season-by-season WR/QB v2 overlay rows,player identity; feature_season/as_of; overlay input; overlay output; decision/reason; status,player_id or canonical equivalent; feature_season/as_of; candidate_mode,historical feature seasons where overlay applies,WR/QB primarily,requires human/Master HQ review,Candidate overlay is decision logic and needs explicit historical receipts.,yes,yes if overlay is used
exact_nwr_dynasty_score_and_rank,REQUIRES_HUMAN_REVIEW,rebuilt_full_player_board_value_review_rows and pinned final board comparison,historical nwr_dynasty_score and rank rows,player identity; feature_season/as_of; position; rank; nwr_dynasty_score; status/provenance,player_id or canonical equivalent; feature_season/as_of; position,historical seasons under benchmark scope,QB/RB/WR/TE,requires human/Master HQ review,Exact outputs cannot be inferred from partial component analogs.,yes,yes if used as exact current formula baseline
route_yprr_tprr_exact_receipts,REQUIRES_SOURCE_ADMISSION,route/YPRR/TPRR blockers and route source placeholders,historical route denominator and route-derived receipt rows,player identity; feature_season/as_of; routes_run; targets/routes; yards/routes; source admission,player_id or canonical equivalent; feature_season/as_of,historical route seasons,RB/WR/TE,blocked until Route Recovery admits a rights-cleared route denominator,Needed only for exact route-role components and future route tournaments.,conditional,yes for route/YPRR/TPRR candidates
red_zone_exact_receipts,REGENERATABLE_REVIEW_ONLY,current role/red-zone component blockers,historical red-zone opportunity receipt rows,player identity; feature_season/as_of; red-zone opportunity fields; source semantics/provenance,player_id or canonical equivalent; feature_season/as_of,historical feature seasons,QB/RB/WR/TE where applicable,review-only regeneration possible only after semantic/source gate,Required for exact red-zone transforms where used by Model v4.,conditional,yes for red-zone candidates
shadow_model_v2_metrics,MISSING_SOURCE,shadow_model_v2_metrics.csv absent from current board rebuild caveats,historical shadow_model_v2_metrics rows if scope retains shadow sidecar,unknown until file recovered,unknown until file recovered,unknown until file recovered,unknown until file recovered,missing source; Master HQ may remove from exact replay scope,"Current board hash rebuild did not need it, but exact shadow/guardrail replay may.",conditional,no unless scope admits it
return_scoring_receipts,REQUIRES_SOURCE_ADMISSION,return scoring and shadow sidecars noted missing,historical return scoring component receipt rows,player identity; feature_season/as_of; return scoring fields; source semantics/provenance,player_id or canonical equivalent; feature_season/as_of,historical feature seasons,all positions if return scoring in scope,requires source/semantic admission,Special teams ambiguity must not be substituted.,conditional,conditional
source_coverage_matrix_history,RECOVERABLE_FROM_EXISTING_ARTIFACTS,source_coverage_matrix recovered for current board,historical source coverage matrix by feature season,feature_season/as_of; source family; coverage/missingness flags; position/player grain where applicable,feature_season/as_of plus source family and player key where row-level,historical feature seasons,QB/RB/WR/TE,review-only recovery candidate; Master HQ approval required before canonical use,Required to explain missingness caps and component availability season by season.,yes,yes for missingness/confidence guardrails
exact_transform_weight_receipts,NOT_ENOUGH_INFORMATION,current code/component receipts imply transforms but not historical weights,historical transform/weight config or model spec version receipts,formula id; feature season/as_of; transform id; weight/config; source code/file hash,formula id; feature_season/as_of; component id,all historical replay seasons,QB/RB/WR/TE,not enough information; requires Master HQ formula/spec approval,Without frozen transforms exact replay cannot be claimed.,yes,yes if exact Model v4 baseline is required
