ingredient,status,best_result,window,next_use,source_use_gate,caveat
PFR RB broken tackles,FAILED_NO_INCREMENTAL_SIGNAL,raw broken tackles Spearman 0.595 vs PYF 0.655 on same rows,2019-2025 lagged test subset,descriptive RB slice context only; stop PFR-specific formula testing,review-only source sidecar preserved; no broad PFR promotion,did not add enough beyond PYF or multi-year production
ffopportunity expected fantasy points,PARTIAL_WINDOW_PROMISING,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10 Spearman 0.790,2022-2025 partial modern window,preserve as partial-window benchmark; retest only if coverage expands,review-only partial sidecar,not full-history comparable; component trailed PYF same rows
NGS,PARTIAL_WINDOW_PROMISING,NGS combinations reached about 0.758 on sparse partial rows,2022-2025 partial modern window,partial-window interaction context only unless coverage improves,review-only partial sidecar,coverage is too narrow for plateau claim
EPA / opportunity,INTERACTION_CONTEXT,EPA-only formula x ingredient 0.747 full-history; EPA+ffop combo 0.789 partial,"2013-2025 sidecar, partial combos when paired with ffop/NGS",bounded interaction context; no EPA-only branch,review-only public nflfastR/nflverse source,core EPA signal trailed current formula plateau
receiving opportunity,INTERACTION_CONTEXT,full-history formula x ingredient tied 0.755; partial receiving+ffop combo 0.790,"2013-2025 sidecar, partial combos when paired with ffop/NGS",bounded interaction and slice context only,review-only public nflverse/nflfastR source,no full-history receiving opportunity result beat 0.755
snap/depth role,BROAD_WINDOW_ADDITIVE_SIGNAL,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100 Spearman 0.763,"2014-2025 broad window; 5,122 rows",best non-partial additive ingredient; keep as benchmark and possible future combo anchor,review-only public no-key nflverse assets,not production; full-history lift was only 0.758
injury availability,GUARDRAIL_CONTEXT,best broad/full formula x ingredient 0.757; partial ffop combo 0.789,lagged public nflverse availability sidecar,availability caveat and slice context only,review-only; no injury prediction,did not beat snap/depth 0.763
market/ADP,BLOCKED_FOR_HISTORICAL,no sidecar or tests; 220 sources ledgered but as-of gate failed,blocked,display-only/current awareness or future acquisition plan,historical/as-of proof missing,current-only market cannot be historical formula input
rookie/draft capital,GUARDRAIL_CONTEXT,best combo 0.744 on positive drafted-evidence subset,"positive drafted-evidence subset, 4,044 joined rows",rookie/sparse-history context; no new draft branch without dedicated authorization,positive draft evidence only; CFBD and UDFA inference blocked,not full-history or broad-window comparable
age/lifecycle,ADDITIVE_SIGNAL,older/late lifecycle captured 31.3% PYF false positives; young/early captured 49.0% PYF false negatives,2013-2025 review-only sidecar,"formula-family context, diagnostics, and guardrail slices",review-only sidecar; not direct ranking input,can over-penalize older elite producers or over-reward young sparse-history players
role archetype,GUARDRAIL_CONTEXT,high-volume archetypes held 81.8% of PYF false positives; sparse rows startable rate 3.3%,2013-2025 review-only receipts,"miss taxonomy, guardrail context, and future slice reporting",review-only only; not formula weight,does not replace PYF and can create false confidence if overused
confidence cap,GUARDRAIL_CONTEXT,WR low-confidence caution rows: 27/28 non-startable; no measurable signal beyond PYF,2013-2025 review-only receipts,caution/coverage context only,review-only only,not a formula or ranking feature
