candidate_manifest,field,status,material_unknown,exact_admission
exact_model_v4_historical_chain,model_version,RECOVERED_EXACT,FALSE,BLOCKED
exact_model_v4_historical_chain,code_commit,RECOVERED_EXACT,FALSE,BLOCKED
exact_model_v4_historical_chain,formula_contract,RECOVERED_EXACT,FALSE,BLOCKED
exact_model_v4_historical_chain,source_families_versions,UNKNOWN,TRUE,BLOCKED
exact_model_v4_historical_chain,source_as_of_dates,UNKNOWN,TRUE,BLOCKED
exact_model_v4_historical_chain,input_hashes,UNKNOWN,TRUE,BLOCKED
exact_model_v4_historical_chain,schemas,INFERRED_WITH_EVIDENCE,FALSE,BLOCKED
exact_model_v4_historical_chain,player_id_namespace,INFERRED_WITH_EVIDENCE,FALSE,BLOCKED
exact_model_v4_historical_chain,season,RECOVERED_EXACT,FALSE,BLOCKED
exact_model_v4_historical_chain,position,RECOVERED_EXACT,FALSE,BLOCKED
exact_model_v4_historical_chain,row_count,RECOVERED_EXACT,FALSE,BLOCKED
exact_model_v4_historical_chain,checkpoint_stage,UNKNOWN,TRUE,BLOCKED
exact_model_v4_historical_chain,output_hash,UNKNOWN,TRUE,BLOCKED
exact_model_v4_historical_chain,rank_assignment,DETERMINISTICALLY_DERIVED,FALSE,BLOCKED
exact_model_v4_historical_chain,tie_handling,DETERMINISTICALLY_DERIVED,FALSE,BLOCKED
exact_model_v4_historical_chain,missing_data_behavior,INFERRED_WITH_EVIDENCE,FALSE,BLOCKED
hq2_three_year_stability_low_games_guard_v1,model_version,RECOVERED_EXACT,FALSE,CANDIDATE_DEFINITION_ONLY
hq2_three_year_stability_low_games_guard_v1,code_commit,RECOVERED_EXACT,FALSE,CANDIDATE_DEFINITION_ONLY
hq2_three_year_stability_low_games_guard_v1,formula_contract,RECOVERED_EXACT,FALSE,CANDIDATE_DEFINITION_ONLY
hq2_three_year_stability_low_games_guard_v1,source_families_versions,RECOVERED_EXACT,FALSE,CANDIDATE_DEFINITION_ONLY
hq2_three_year_stability_low_games_guard_v1,source_as_of_dates,RECOVERED_EXACT,FALSE,CANDIDATE_DEFINITION_ONLY
