model,evidence_layer,metric_alignment,scope,rows,seasons,effective_sample_size,spearman,spearman_ci_low,spearman_ci_high,rank_mae,top_n_precision,top_n_recall,false_positive_rate,false_negative_rate,score_mae,caveat
ACCEPTED_NEAR_EQUIVALENT_OLD_CURRENT_RECONSTRUCTION,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,OVERALL,0,0,0,,,,,,,,,,Exact governed definition or admitted historical output was not found.
ACCEPTED_NEAR_EQUIVALENT_OLD_CURRENT_RECONSTRUCTION,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,QB,0,0,0,,,,,,,,,,Exact governed definition or admitted historical output was not found.
ACCEPTED_NEAR_EQUIVALENT_OLD_CURRENT_RECONSTRUCTION,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,RB,0,0,0,,,,,,,,,,Exact governed definition or admitted historical output was not found.
ACCEPTED_NEAR_EQUIVALENT_OLD_CURRENT_RECONSTRUCTION,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,WR,0,0,0,,,,,,,,,,Exact governed definition or admitted historical output was not found.
ACCEPTED_NEAR_EQUIVALENT_OLD_CURRENT_RECONSTRUCTION,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,TE,0,0,0,,,,,,,,,,Exact governed definition or admitted historical output was not found.
ACCEPTED_PRODUCTION_PROXY,PARTIAL_REPLAY,RANKING_ALIGNED,OVERALL,5518,13,5518,0.674739,0.646935,0.693071,21.649511,0.587912,0.587912,0.101672,0.412088,,Proxy score scale is 0..1; score MAE against fantasy points is invalid.
ACCEPTED_PRODUCTION_PROXY,PARTIAL_REPLAY,RANKING_ALIGNED,QB,754,13,754,0.699193,0.655473,0.742936,10.140584,0.557692,0.557692,0.115385,0.442308,,Proxy score scale is 0..1; score MAE against fantasy points is invalid.
ACCEPTED_PRODUCTION_PROXY,PARTIAL_REPLAY,RANKING_ALIGNED,RB,1429,13,1429,0.636444,0.598236,0.671755,20.831351,0.576923,0.576923,0.118174,0.423077,,Proxy score scale is 0..1; score MAE against fantasy points is invalid.
ACCEPTED_PRODUCTION_PROXY,PARTIAL_REPLAY,RANKING_ALIGNED,WR,2124,13,2124,0.686226,0.665995,0.701546,29.225047,0.641026,0.641026,0.101449,0.358974,,Proxy score scale is 0..1; score MAE against fantasy points is invalid.
ACCEPTED_PRODUCTION_PROXY,PARTIAL_REPLAY,RANKING_ALIGNED,TE,1211,13,1211,0.684552,0.632334,0.714962,16.493807,0.480769,0.480769,0.076777,0.519231,,Proxy score scale is 0..1; score MAE against fantasy points is invalid.
EXACT_CURRENT_MODEL_V4_HISTORICAL_REPLAY,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,OVERALL,0,0,0,,,,,,,,,,Zero complete exact rows; no metric invented.
EXACT_CURRENT_MODEL_V4_HISTORICAL_REPLAY,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,QB,0,0,0,,,,,,,,,,Zero complete exact rows; no metric invented.
EXACT_CURRENT_MODEL_V4_HISTORICAL_REPLAY,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,RB,0,0,0,,,,,,,,,,Zero complete exact rows; no metric invented.
EXACT_CURRENT_MODEL_V4_HISTORICAL_REPLAY,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,WR,0,0,0,,,,,,,,,,Zero complete exact rows; no metric invented.
EXACT_CURRENT_MODEL_V4_HISTORICAL_REPLAY,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,TE,0,0,0,,,,,,,,,,Zero complete exact rows; no metric invented.
GAUNTLET_081,REVIEW_ONLY,RANKING_ALIGNED,OVERALL,5518,13,5518,0.697015,0.675604,0.718241,20.887640,0.601648,0.601648,0.098283,0.398352,35.639445,Fixed prior challenger; full-history selection through 2025 prevents admission.
GAUNTLET_081,REVIEW_ONLY,RANKING_ALIGNED,QB,754,13,754,0.735412,0.699815,0.767388,9.519894,0.570513,0.570513,0.112040,0.429487,51.488112,Fixed prior challenger; full-history selection through 2025 prevents admission.
GAUNTLET_081,REVIEW_ONLY,RANKING_ALIGNED,RB,1429,13,1429,0.651237,0.609402,0.685821,20.411477,0.580128,0.580128,0.117278,0.419872,44.638306,Fixed prior challenger; full-history selection through 2025 prevents admission.
GAUNTLET_081,REVIEW_ONLY,RANKING_ALIGNED,WR,2124,13,2124,0.701816,0.677346,0.720458,28.284369,0.655983,0.655983,0.097222,0.344017,32.638740,Fixed prior challenger; full-history selection through 2025 prevents admission.
GAUNTLET_081,REVIEW_ONLY,RANKING_ALIGNED,TE,1211,13,1211,0.718705,0.673053,0.748292,15.554088,0.512821,0.512821,0.072038,0.487179,20.415853,Fixed prior challenger; full-history selection through 2025 prevents admission.
HQ2_THREE_YEAR_STABILITY_LOW_GAMES_GUARD_V1,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,OVERALL,0,0,0,,,,,,,,,,Exact governed definition or admitted historical output was not found.
